Time_sec,Neural_Amp_OpenLoop,Neural_Amp_ClosedLoop,Bio_Gamma,Artificial_Gamma_u,Total_System_Chi
18.26,0.01810557012982904,-0.0027447515786790527,0.1,11.209733552923247,0.8999999999999992
18.27,0.018488802286305235,-0.0028061678063895567,0.1,11.209733552923247,0.8999999999999992
18.28,0.01886920696384595,-0.0027790130969475775,0.1,11.209733552923247,0.8999999999999992
18.29,0.019169809186856734,-0.002748887815447842,0.1,11.209733552923247,0.8999999999999992
18.3,0.019395373915544294,-0.0027103749677579742,0.1,11.209733552923247,0.8999999999999992
18.31,0.019579553933562942,-0.0026301069678784914,0.1,11.209733552923247,0.8999999999999992
18.32,0.01969791359745712,-0.00253687301222826,0.1,11.209733552923247,0.8999999999999992
18.330000000000002,0.01978604748748957,-0.0023965115636286607,0.1,11.209733552923247,0.8999999999999992
18.34,0.019810337267347003,-0.002248207364186348,0.1,11.209733552923247,0.8999999999999992
18.35,0.01972577281194021,-0.0021384222763623246,0.1,11.209733552923247,0.8999999999999992
18.36,0.01958149386758528,-0.0020145362604276668,0.1,11.209733552923247,0.8999999999999992
18.37,0.019302868252586505,-0.0019538946627937555,0.1,11.209733552923247,0.8999999999999992
18.38,0.018953744579107805,-0.0018869698160403794,0.1,11.209733552923247,0.8999999999999992
18.39,0.018528482145404326,-0.0018218260324272895,0.1,11.209733552923247,0.8999999999999992
18.400000000000002,0.01802009161569981,-0.0017672633991396944,0.1,11.209733552923247,0.8999999999999992
18.41,0.01743464213074571,-0.0017183216536195182,0.1,11.209733552923247,0.8999999999999992
18.42,0.016686856434719673,-0.0017622238794066855,0.1,11.209733552923247,0.8999999999999992
18.43,0.01584650521031923,-0.0018216401447982108,0.1,11.209733552923247,0.8999999999999992
18.44,0.014949077087173985,-0.0018625027967936803,0.1,11.209733552923247,0.8999999999999992
18.45,0.014001522620947036,-0.0018833983058058237,0.1,11.209733552923247,0.8999999999999992
18.46,0.012948256156427355,-0.0019458789869872702,0.1,11.209733552923247,0.8999999999999992
18.47,0.011908210684036268,-0.001930325855236226,0.1,11.209733552923247,0.8999999999999992
18.48,0.010778884783276339,-0.0019522198626335345,0.1,11.209733552923247,0.8999999999999992
18.490000000000002,0.009656607736965164,-0.0019154578010045565,0.1,11.209733552923247,0.8999999999999992
18.5,0.008518689926505747,-0.0018539317882036348,0.1,11.209733552923247,0.8999999999999992
18.51,0.0073159682285285355,-0.0018243565396739553,0.1,11.209733552923247,0.8999999999999992
18.52,0.006174332511989171,-0.001702158357386873,0.1,11.209733552923247,0.8999999999999992
18.53,0.004949781301844875,-0.0016467424536646326,0.1,11.209733552923247,0.8999999999999992
18.54,0.003752871398262776,-0.0015451351536915623,0.1,11.209733552923247,0.8999999999999992
18.55,0.002592371778058802,-0.001398890303628356,0.1,11.209733552923247,0.8999999999999992
18.56,0.0013892673734572035,-0.00129719376933707,0.1,11.209733552923247,0.8999999999999992
18.57,0.00025150473051007804,-0.0011322544613695034,0.1,11.209733552923247,0.8999999999999992
18.580000000000002,-0.0008986153764021028,-0.0009940017139410174,0.1,11.209733552923247,0.8999999999999992
18.59,-0.002029603090433849,-0.0008530261409360553,0.1,11.209733552923247,0.8999999999999992
18.6,-0.003138431172975478,-0.0007116108254521694,0.1,11.209733552923247,0.8999999999999992
18.61,-0.004240475834861167,-0.0005900953154921659,0.1,11.209733552923247,0.8999999999999992
18.62,-0.0052841373108419975,-0.0004394528693469882,0.1,11.209733552923247,0.8999999999999992
18.63,-0.006266219751375618,-0.0002644383560614739,0.1,11.209733552923247,0.8999999999999992
18.64,-0.007310008664116066,-0.00019560015578428536,0.1,11.209733552923247,0.8999999999999992
18.650000000000002,-0.008258678018326521,-6.855816193381394e-05,0.1,11.209733552923247,0.8999999999999992
18.66,-0.009256919348617807,-3.873822171523465e-05,0.1,11.209733552923247,0.8999999999999992
18.67,-0.01016599027458426,3.9489405305477617e-05,0.1,11.209733552923247,0.8999999999999992
18.68,-0.01097768315184118,0.00016504905506339217,0.1,11.209733552923247,0.8999999999999992
18.69,-0.011799774501751934,0.00022120833392084331,0.1,11.209733552923247,0.8999999999999992
18.7,-0.012595000832168765,0.0002496021380781352,0.1,11.209733552923247,0.8999999999999992
18.71,-0.013394994099421517,0.00021851405547120283,0.1,11.209733552923247,0.8999999999999992
18.72,-0.014152052107834965,0.00017933324174595902,0.1,11.209733552923247,0.8999999999999992
18.73,-0.014867884710142113,0.0001284739801868214,0.1,11.209733552923247,0.8999999999999992
18.740000000000002,-0.015485322397085445,0.00012184259726636262,0.1,11.209733552923247,0.8999999999999992
18.75,-0.015975493606602827,0.00018099562809737412,0.1,11.209733552923247,0.8999999999999992
18.76,-0.016332321733567474,0.00030252825719335834,0.1,11.209733552923247,0.8999999999999992
18.77,-0.016652424011949423,0.0003810131347423494,0.1,11.209733552923247,0.8999999999999992
18.78,-0.01691692614681336,0.0004386563085093748,0.1,11.209733552923247,0.8999999999999992
18.79,-0.01719855034165288,0.00040387653760764157,0.1,11.209733552923247,0.8999999999999992
18.8,-0.01745228926036464,0.0003311423221391745,0.1,11.209733552923247,0.8999999999999992
18.81,-0.017588632982145542,0.00031356943680888424,0.1,11.209733552923247,0.8999999999999992
18.82,-0.017574624079231358,0.00037752521664699177,0.1,11.209733552923247,0.8999999999999992
18.830000000000002,-0.017552964793950136,0.00037103991478382246,0.1,11.209733552923247,0.8999999999999992
18.84,-0.017491654053478824,0.00033420006345346356,0.1,11.209733552923247,0.8999999999999992
18.85,-0.017362670629264512,0.0002988870443350731,0.1,11.209733552923247,0.8999999999999992
18.86,-0.017151263054350534,0.00028039593277416657,0.1,11.209733552923247,0.8999999999999992
18.87,-0.01691283659047737,0.00022240898189282784,0.1,11.209733552923247,0.8999999999999992
18.88,-0.01658667629826556,0.000191305217408225,0.1,11.209733552923247,0.8999999999999992
18.89,-0.016219052560342385,0.0001392719957319403,0.1,11.209733552923247,0.8999999999999992
18.900000000000002,-0.015788488806688625,9.185115544152154e-05,0.1,11.209733552923247,0.8999999999999992
18.91,-0.015268710948943116,7.674508440949508e-05,0.1,11.209733552923247,0.8999999999999992
18.92,-0.014688853300852546,6.336560580291307e-05,0.1,11.209733552923247,0.8999999999999992
18.93,-0.014073405536462375,2.9429858666413362e-05,0.1,11.209733552923247,0.8999999999999992
18.94,-0.013408494131944492,-6.264520511092981e-06,0.1,11.209733552923247,0.8999999999999992
18.95,-0.012695731173712746,-4.2315377134837205e-05,0.1,11.209733552923247,0.8999999999999992
18.96,-0.011952060792226488,-9.262247501203446e-05,0.1,11.209733552923247,0.8999999999999992
18.97,-0.011174889039536253,-0.0001498141184196601,0.1,11.209733552923247,0.8999999999999992
18.98,-0.010274445406454957,-0.00012001373838510943,0.1,11.209733552923247,0.8999999999999992
18.990000000000002,-0.00930629435996876,-6.50639342849403e-05,0.1,11.209733552923247,0.8999999999999992
19.0,-0.008317145702921313,-3.0845960400943276e-05,0.1,11.209733552923247,0.8999999999999992
19.01,-0.007261303699171755,3.447154700571321e-05,0.1,11.209733552923247,0.8999999999999992
19.02,-0.006194542033934952,7.557475566064947e-05,0.1,11.209733552923247,0.8999999999999992
19.03,-0.00504573582675571,0.00017038717563791055,0.1,11.209733552923247,0.8999999999999992
19.04,-0.0038596765495647494,0.0002722860115431435,0.1,11.209733552923247,0.8999999999999992
19.05,-0.002664931046587045,0.00035622031132660016,0.1,11.209733552923247,0.8999999999999992
19.06,-0.0014384737167474067,0.00045164141031457937,0.1,11.209733552923247,0.8999999999999992
19.07,-0.00028610778523076807,0.00045594382082994004,0.1,11.209733552923247,0.8999999999999992
19.080000000000002,0.0008098969151713834,0.0004016212726778851,0.1,11.209733552923247,0.8999999999999992
19.09,0.0018419120156898182,0.00029216067242887617,0.1,11.209733552923247,0.8999999999999992
19.1,0.002872770678671331,0.0002010735250482742,0.1,11.209733552923247,0.8999999999999992
19.11,0.003977882988910704,0.0002061200348525278,0.1,11.209733552923247,0.8999999999999992
19.12,0.005177751141567719,0.0003213470758725765,0.1,11.209733552923247,0.8999999999999992
19.13,0.006387881038962291,0.0004541761732386543,0.1,11.209733552923247,0.8999999999999992
19.14,0.00759662468668038,0.0005952318616957921,0.1,11.209733552923247,0.8999999999999992
19.150000000000002,0.00868411643186668,0.0006279317597188046,0.1,11.209733552923247,0.8999999999999992
19.16,0.009709103477818884,0.0006273207211929139,0.1,11.209733552923247,0.8999999999999992
19.17,0.010655346344963597,0.0005849130389604831,0.1,11.209733552923247,0.8999999999999992
19.18,0.011527534968056056,0.0005139500285605233,0.1,11.209733552923247,0.8999999999999992
19.19,0.012344935327654408,0.0004405765612431643,0.1,11.209733552923247,0.8999999999999992
19.2,0.013089177906791913,0.00035015758214593847,0.1,11.209733552923247,0.8999999999999992
19.21,0.013682037249681285,0.00016961739142156392,0.1,11.209733552923247,0.8999999999999992
19.22,0.014257684728011515,4.622170540878202e-05,0.1,11.209733552923247,0.8999999999999992
19.23,0.014722832324400054,-0.00011703788456599414,0.1,11.209733552923247,0.8999999999999992
19.240000000000002,0.015141353704115602,-0.00024940885966122795,0.1,11.209733552923247,0.8999999999999992
19.25,0.015603385027476298,-0.0002621202699726925,0.1,11.209733552923247,0.8999999999999992
19.26,0.015957385394918682,-0.0003183284738783779,0.1,11.209733552923247,0.8999999999999992
19.27,0.01612152015340688,-0.0004934373453820501,0.1,11.209733552923247,0.8999999999999992
19.28,0.01620754535553926,-0.000661094068626874,0.1,11.209733552923247,0.8999999999999992
19.29,0.016284547689830682,-0.0007521313866675163,0.1,11.209733552923247,0.8999999999999992
19.3,0.01639510157707912,-0.0007319859581953845,0.1,11.209733552923247,0.8999999999999992
19.31,0.01637934216404511,-0.00077270663899535,0.1,11.209733552923247,0.8999999999999992
19.32,0.016323770420582275,-0.0007809364345960851,0.1,11.209733552923247,0.8999999999999992
19.330000000000002,0.016180545063469762,-0.0008084179716126853,0.1,11.209733552923247,0.8999999999999992
19.34,0.015968287282490976,-0.0008348973315034477,0.1,11.209733552923247,0.8999999999999992
19.35,0.015825418655267567,-0.0007228687364422077,0.1,11.209733552923247,0.8999999999999992
19.36,0.01554506813160798,-0.000695805022020195,0.1,11.209733552923247,0.8999999999999992
19.37,0.015216315472408001,-0.000656368230391055,0.1,11.209733552923247,0.8999999999999992
19.38,0.014851204618793556,-0.0005954157383185596,0.1,11.209733552923247,0.8999999999999992
19.39,0.014482117986492843,-0.000484716887329808,0.1,11.209733552923247,0.8999999999999992
19.400000000000002,0.014061126488331343,-0.0003797250381906979,0.1,11.209733552923247,0.8999999999999992
19.41,0.013600447406293804,-0.00026970586610305095,0.1,11.209733552923247,0.8999999999999992
19.42,0.013066954160736038,-0.0001906472415255024,0.1,11.209733552923247,0.8999999999999992
19.43,0.012495864488168631,-0.00010632094453441886,0.1,11.209733552923247,0.8999999999999992
19.44,0.011858854595839782,-4.827160255810217e-05,0.1,11.209733552923247,0.8999999999999992
19.45,0.011206743426491673,3.448167665269245e-05,0.1,11.209733552923247,0.8999999999999992
19.46,0.01049256140181314,8.925913547319853e-05,0.1,11.209733552923247,0.8999999999999992
19.47,0.009756525606778378,0.00015634404840663096,0.1,11.209733552923247,0.8999999999999992
19.48,0.008981245487627203,0.00021376147418553744,0.1,11.209733552923247,0.8999999999999992
19.490000000000002,0.008227586625137008,0.00032014375815994856,0.1,11.209733552923247,0.8999999999999992
19.5,0.00743963052526356,0.0004106609261921086,0.1,11.209733552923247,0.8999999999999992
19.51,0.006534440274009794,0.00040066799593603504,0.1,11.209733552923247,0.8999999999999992
19.52,0.005667454351848172,0.00045331954065532605,0.1,11.209733552923247,0.8999999999999992
19.53,0.004733674587599991,0.0004529400870988154,0.1,11.209733552923247,0.8999999999999992
19.54,0.003749452487966376,0.0004181270960052381,0.1,11.209733552923247,0.8999999999999992
19.55,0.002721629300619457,0.0003558175971331935,0.1,11.209733552923247,0.8999999999999992
